County,COUNTY,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,GR9,GR10,GR11,GR12,DOUBLED UP,HOTEL_MOTEL,0HELTERED,UN0HELTERED,Year
ALBANY ,ALBANY ,79,73,60,59,54,45,45,58,73,55,32,33,194,0,526,0,2009
ALLEGANY ,ALLEGANY ,8,7,8,6,0,5,0,7,0,5,6,5,62,0,6,0,2009
BRONX ,BRONX ,2661,2526,2163,1882,1846,1667,1564,1479,1600,1006,572,416,5656,32,15495,1763,2009
BROOME ,BROOME ,37,23,22,17,14,19,17,15,21,26,32,55,237,38,44,6,2009
CATTARAUGUS ,CATTARAUGUS ,6,5,8,0,0,5,0,5,7,6,6,5,56,0,6,5,2009
CAYUGA ,CAYUGA ,10,14,13,11,5,10,11,7,13,13,10,6,119,13,13,0,2009
CHAUTAUQUA ,CHAUTAUQUA ,32,16,22,17,16,11,14,11,20,11,11,16,166,0,53,0,2009
CHEMUNG ,CHEMUNG ,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,2009
CHENANGO ,CHENANGO ,6,5,0,6,0,5,0,0,6,6,10,6,38,0,25,0,2009
CLINTON ,CLINTON ,0,0,0,5,0,0,7,8,0,9,0,0,31,0,17,0,2009
COLUMBIA ,COLUMBIA ,12,13,10,7,11,11,7,10,17,18,17,21,91,34,48,0,2009
CORTLAND ,CORTLAND ,12,0,5,5,0,0,5,6,0,0,5,0,40,14,0,0,2009
DELAWARE ,DELAWARE ,5,0,5,0,5,0,0,0,0,5,6,9,59,0,5,0,2009
DUTCHESS ,DUTCHESS ,40,38,40,31,20,30,21,31,29,19,25,23,158,0,176,0,2009
ERIE ,ERIE ,111,115,102,88,76,95,59,60,74,51,60,68,882,0,242,0,2009
ESSEX ,ESSEX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
FRANKLIN ,FRANKLIN ,0,0,5,0,7,0,0,0,0,0,0,0,24,0,21,0,2009
FULTON ,FULTON ,11,10,7,7,9,8,8,0,6,0,0,5,71,11,10,0,2009
GENESEE ,GENESEE ,5,7,0,5,0,0,5,0,0,0,0,0,42,5,0,0,2009
GREENE ,GREENE ,20,10,9,5,16,12,11,10,11,13,14,15,111,32,0,0,2009
HAMILTON ,HAMILTON ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
