REGION,Year,Home,Value,Year_fct
Capital,2009,DOUBLED UP,194,2009
Capital,2009,0HELTERED,526,2009
Western,2009,DOUBLED UP,62,2009
Western,2009,0HELTERED,6,2009
New York City,2009,DOUBLED UP,5656,2009
New York City,2009,HOTEL_MOTEL,32,2009
New York City,2009,0HELTERED,15495,2009
New York City,2009,UN0HELTERED,1763,2009
Southern Tier,2009,DOUBLED UP,237,2009
Southern Tier,2009,HOTEL_MOTEL,38,2009
Southern Tier,2009,0HELTERED,44,2009
Southern Tier,2009,UN0HELTERED,6,2009
Western,2009,DOUBLED UP,56,2009
Western,2009,0HELTERED,6,2009
Western,2009,UN0HELTERED,5,2009
Central,2009,DOUBLED UP,119,2009
Central,2009,HOTEL_MOTEL,13,2009
Central,2009,0HELTERED,13,2009
Western,2009,DOUBLED UP,166,2009
Western,2009,0HELTERED,53,2009
Southern Tier,2009,DOUBLED UP,24,2009
Southern Tier,2009,DOUBLED UP,38,2009
Southern Tier,2009,0HELTERED,25,2009
North Country,2009,DOUBLED UP,31,2009
North Country,2009,0HELTERED,17,2009
Capital,2009,DOUBLED UP,91,2009
Capital,2009,HOTEL_MOTEL,34,2009
Capital,2009,0HELTERED,48,2009
Central,2009,DOUBLED UP,40,2009
Central,2009,HOTEL_MOTEL,14,2009
Southern Tier,2009,DOUBLED UP,59,2009
Southern Tier,2009,0HELTERED,5,2009
Hudson Valley,2009,DOUBLED UP,158,2009
Hudson Valley,2009,0HELTERED,176,2009
Western,2009,DOUBLED UP,882,2009
Western,2009,0HELTERED,242,2009
North Country,2009,DOUBLED UP,24,2009
North Country,2009,0HELTERED,21,2009
Mohawk,2009,DOUBLED UP,71,2009
Mohawk,2009,HOTEL_MOTEL,11,2009
Mohawk,2009,0HELTERED,10,2009
Finger Lakes,2009,DOUBLED UP,42,2009
Finger Lakes,2009,HOTEL_MOTEL,5,2009
Capital,2009,DOUBLED UP,111,2009
Capital,2009,HOTEL_MOTEL,32,2009
Mohawk,2009,DOUBLED UP,59,2009
Mohawk,2009,HOTEL_MOTEL,7,2009
Mohawk,2009,0HELTERED,28,2009
North Country,2009,DOUBLED UP,91,2009
North Country,2009,HOTEL_MOTEL,18,2009
North Country,2009,0HELTERED,13,2009
New York City,2009,DOUBLED UP,5582,2009
New York City,2009,HOTEL_MOTEL,39,2009
New York City,2009,0HELTERED,13086,2009
New York City,2009,UN0HELTERED,1744,2009
North Country,2009,DOUBLED UP,21,2009
Finger Lakes,2009,DOUBLED UP,71,2009
Finger Lakes,2009,HOTEL_MOTEL,10,2009
Central,2009,DOUBLED UP,63,2009
Central,2009,0HELTERED,12,2009
Finger Lakes,2009,DOUBLED UP,766,2009
Finger Lakes,2009,HOTEL_MOTEL,52,2009
Finger Lakes,2009,0HELTERED,463,2009
Finger Lakes,2009,UN0HELTERED,37,2009
Mohawk,2009,DOUBLED UP,52,2009
Mohawk,2009,HOTEL_MOTEL,7,2009
Mohawk,2009,0HELTERED,30,2009
Long Island,2009,DOUBLED UP,865,2009
Long Island,2009,0HELTERED,311,2009
New York City,2009,DOUBLED UP,4899,2009
New York City,2009,HOTEL_MOTEL,31,2009
New York City,2009,0HELTERED,6473,2009
New York City,2009,UN0HELTERED,862,2009
Western,2009,DOUBLED UP,229,2009
Western,2009,HOTEL_MOTEL,9,2009
Western,2009,0HELTERED,50,2009
Mohawk,2009,DOUBLED UP,123,2009
Mohawk,2009,0HELTERED,38,2009
Central,2009,DOUBLED UP,731,2009
Central,2009,HOTEL_MOTEL,67,2009
Central,2009,0HELTERED,241,2009
Finger Lakes,2009,DOUBLED UP,188,2009
Finger Lakes,2009,HOTEL_MOTEL,39,2009
Finger Lakes,2009,0HELTERED,32,2009
Finger Lakes,2009,UN0HELTERED,22,2009
Hudson Valley,2009,DOUBLED UP,1161,2009
Hudson Valley,2009,HOTEL_MOTEL,172,2009
Finger Lakes,2009,DOUBLED UP,56,2009
Finger Lakes,2009,0HELTERED,10,2009
Central,2009,DOUBLED UP,525,2009
Central,2009,HOTEL_MOTEL,8,2009
Central,2009,0HELTERED,80,2009
Central,2009,UN0HELTERED,8,2009
Mohawk,2009,DOUBLED UP,39,2009
Mohawk,2009,HOTEL_MOTEL,15,2009
Hudson Valley,2009,DOUBLED UP,92,2009
Hudson Valley,2009,HOTEL_MOTEL,7,2009
Hudson Valley,2009,0HELTERED,60,2009
New York City,2009,DOUBLED UP,3746,2009
New York City,2009,HOTEL_MOTEL,34,2009
New York City,2009,0HELTERED,5003,2009
New York City,2009,UN0HELTERED,655,2009
Capital,2009,DOUBLED UP,333,2009
Capital,2009,HOTEL_MOTEL,91,2009
Capital,2009,0HELTERED,71,2009
Capital,2009,UN0HELTERED,13,2009
New York City,2009,DOUBLED UP,504,2009
New York City,2009,HOTEL_MOTEL,8,2009
New York City,2009,0HELTERED,1198,2009
New York City,2009,UN0HELTERED,121,2009
Hudson Valley,2009,DOUBLED UP,279,2009
Hudson Valley,2009,HOTEL_MOTEL,21,2009
Hudson Valley,2009,0HELTERED,42,2009
Capital,2009,DOUBLED UP,431,2009
Capital,2009,HOTEL_MOTEL,88,2009
Capital,2009,DOUBLED UP,63,2009
Capital,2009,HOTEL_MOTEL,27,2009
Capital,2009,0HELTERED,32,2009
Mohawk,2009,DOUBLED UP,28,2009
Mohawk,2009,HOTEL_MOTEL,7,2009
Mohawk,2009,0HELTERED,13,2009
Southern Tier,2009,DOUBLED UP,20,2009
Southern Tier,2009,0HELTERED,10,2009
Finger Lakes,2009,DOUBLED UP,50,2009
Finger Lakes,2009,0HELTERED,16,2009
NA,2009,DOUBLED UP,166,2009
NA,2009,0HELTERED,19,2009
Southern Tier,2009,DOUBLED UP,104,2009
Southern Tier,2009,HOTEL_MOTEL,15,2009
Long Island,2009,DOUBLED UP,1842,2009
