LEA.TYPE,COUNTY,REGION,TOTAL.HOMELESS,YEAR
SCHOOL DISTRICT,ALBANY,Capital,466,2009
CHARTER SCHOOL,ALBANY,Capital,56,2009
CHARTER SCHOOL,ALBANY,Capital,0,2009
CHARTER SCHOOL,ALBANY,Capital,0,2009
CHARTER SCHOOL,ALBANY,Capital,0,2009
CHARTER SCHOOL,ALBANY,Capital,0,2009
CHARTER SCHOOL,ALBANY,Capital,9,2009
CHARTER SCHOOL,ALBANY,Capital,0,2009
CHARTER SCHOOL,ALBANY,Capital,0,2009
CHARTER SCHOOL,ALBANY,Capital,0,2009
SCHOOL DISTRICT,ALBANY,Capital,0,2009
SCHOOL DISTRICT,ALBANY,Capital,12,2009
SCHOOL DISTRICT,ALBANY,Capital,14,2009
SCHOOL DISTRICT,ALBANY,Capital,94,2009
SCHOOL DISTRICT,ALBANY,Capital,43,2009
SCHOOL DISTRICT,ALBANY,Capital,6,2009
SCHOOL DISTRICT,ALBANY,Capital,20,2009
SCHOOL DISTRICT,ALBANY,Capital,13,2009
SCHOOL DISTRICT,ALBANY,Capital,7,2009
SCHOOL DISTRICT,ALBANY,Capital,0,2009
SCHOOL DISTRICT,ALBANY,Capital,35,2009
SCHOOL DISTRICT,ALLEGANY,Western,0,2009
SCHOOL DISTRICT,ALLEGANY,Western,5,2009
SCHOOL DISTRICT,ALLEGANY,Western,5,2009
SCHOOL DISTRICT,ALLEGANY,Western,8,2009
SCHOOL DISTRICT,ALLEGANY,Western,6,2009
SCHOOL DISTRICT,ALLEGANY,Western,6,2009
SCHOOL DISTRICT,ALLEGANY,Western,7,2009
SCHOOL DISTRICT,ALLEGANY,Western,0,2009
SCHOOL DISTRICT,ALLEGANY,Western,32,2009
SCHOOL DISTRICT,ALLEGANY,Western,0,2009
SCHOOL DISTRICT,BROOME,Southern Tier,13,2009
SCHOOL DISTRICT,BROOME,Southern Tier,68,2009
SCHOOL DISTRICT,BROOME,Southern Tier,6,2009
