COUNTY,YEAR,TOTAL.HOMELESS
ALBANY,2009,775
ALBANY,2011,928
ALBANY,2012,787
ALBANY,2013,706
ALBANY,2014,690
ALBANY,2015,824
ALBANY,2016,978
ALBANY,2017,1105
ALBANY,2018,1154
ALBANY,2019,1042
ALBANY,2020,749
ALBANY,2021,947
ALLEGANY,2009,69
ALLEGANY,2011,69
ALLEGANY,2012,96
ALLEGANY,2013,79
ALLEGANY,2014,87
ALLEGANY,2015,60
ALLEGANY,2016,75
ALLEGANY,2017,64
ALLEGANY,2018,63
ALLEGANY,2019,46
ALLEGANY,2020,53
ALLEGANY,2021,86
BRONX,2009,22938
BRONX,2011,24481
BRONX,2012,27987
BRONX,2013,31837
BRONX,2014,31941
BRONX,2015,38502
BRONX,2016,39760
BRONX,2017,39960
BRONX,2018,39712
BRONX,2019,37897
BRONX,2020,33506
BRONX,2021,33094
BROOME,2009,325
BROOME,2011,1195
BROOME,2012,638
BROOME,2013,642
BROOME,2014,539
BROOME,2015,611
BROOME,2016,658
BROOME,2017,880
BROOME,2018,695
BROOME,2019,700
BROOME,2020,585
BROOME,2021,625
CATTARAUGUS,2009,61
CATTARAUGUS,2011,97
CATTARAUGUS,2012,154
CATTARAUGUS,2013,159
CATTARAUGUS,2014,181
CATTARAUGUS,2015,173
CATTARAUGUS,2016,139
CATTARAUGUS,2017,153
CATTARAUGUS,2018,95
CATTARAUGUS,2019,94
CATTARAUGUS,2020,97
CATTARAUGUS,2021,127
CAYUGA,2009,136
CAYUGA,2011,184
CAYUGA,2012,147
CAYUGA,2013,115
CAYUGA,2014,126
CAYUGA,2015,149
CAYUGA,2016,210
CAYUGA,2017,276
CAYUGA,2018,163
CAYUGA,2019,154
CAYUGA,2020,139
CAYUGA,2021,154
CHAUTAUQUA,2009,215
CHAUTAUQUA,2011,318
CHAUTAUQUA,2012,333
CHAUTAUQUA,2013,302
CHAUTAUQUA,2014,300
CHAUTAUQUA,2015,230
CHAUTAUQUA,2016,246
CHAUTAUQUA,2017,406
CHAUTAUQUA,2018,321
CHAUTAUQUA,2019,388
CHAUTAUQUA,2020,245
CHAUTAUQUA,2021,287
CHEMUNG,2009,19
CHEMUNG,2011,69
CHEMUNG,2012,50
CHEMUNG,2013,35
CHEMUNG,2014,112
CHEMUNG,2015,60
CHEMUNG,2016,100
CHEMUNG,2017,95
CHEMUNG,2018,112
CHEMUNG,2019,100
CHEMUNG,2020,111
CHEMUNG,2021,128
CHENANGO,2009,67
CHENANGO,2011,87
CHENANGO,2012,133
CHENANGO,2013,149
CHENANGO,2014,149
CHENANGO,2015,162
CHENANGO,2016,119
CHENANGO,2017,140
CHENANGO,2018,80
CHENANGO,2019,61
CHENANGO,2020,73
CHENANGO,2021,127
CLINTON,2009,49
CLINTON,2011,112
CLINTON,2012,117
CLINTON,2013,135
CLINTON,2014,161
CLINTON,2015,214
CLINTON,2016,210
CLINTON,2017,284
CLINTON,2018,275
CLINTON,2019,195
CLINTON,2020,178
CLINTON,2021,179
COLUMBIA,2009,169
COLUMBIA,2011,233
COLUMBIA,2012,195
COLUMBIA,2013,189
COLUMBIA,2014,180
COLUMBIA,2015,166
COLUMBIA,2016,191
COLUMBIA,2017,211
COLUMBIA,2018,199
COLUMBIA,2019,202
COLUMBIA,2020,148
COLUMBIA,2021,135
CORTLAND,2009,49
CORTLAND,2011,42
CORTLAND,2012,81
CORTLAND,2013,88
CORTLAND,2014,74
CORTLAND,2015,87
CORTLAND,2016,98
CORTLAND,2017,92
CORTLAND,2018,107
CORTLAND,2019,58
CORTLAND,2020,62
CORTLAND,2021,57
DELAWARE,2009,60
DELAWARE,2011,193
DELAWARE,2012,54
DELAWARE,2013,26
DELAWARE,2014,45
DELAWARE,2015,70
DELAWARE,2016,57
DELAWARE,2017,42
DELAWARE,2018,28
DELAWARE,2019,8
DELAWARE,2020,14
DELAWARE,2021,17
DUTCHESS,2009,374
DUTCHESS,2011,505
DUTCHESS,2012,589
DUTCHESS,2013,603
DUTCHESS,2014,665
DUTCHESS,2015,803
DUTCHESS,2016,835
DUTCHESS,2017,900
DUTCHESS,2018,907
DUTCHESS,2019,766
DUTCHESS,2020,623
DUTCHESS,2021,740
ERIE,2009,1157
ERIE,2011,1580
ERIE,2012,1547
ERIE,2013,2037
ERIE,2014,2729
ERIE,2015,2931
ERIE,2016,2394
ERIE,2017,2755
ERIE,2018,2083
ERIE,2019,1784
ERIE,2020,1023
ERIE,2021,1821
ESSEX,2009,0
ESSEX,2011,13
ESSEX,2012,8
ESSEX,2013,19
ESSEX,2014,9
ESSEX,2015,17
ESSEX,2016,7
ESSEX,2017,20
ESSEX,2018,16
ESSEX,2019,8
ESSEX,2020,12
ESSEX,2021,12
FRANKLIN,2009,44
FRANKLIN,2011,111
FRANKLIN,2012,129
FRANKLIN,2013,111
FRANKLIN,2014,87
FRANKLIN,2015,98
FRANKLIN,2016,151
FRANKLIN,2017,163
FRANKLIN,2018,131
FRANKLIN,2019,153
FRANKLIN,2020,126
FRANKLIN,2021,138
FULTON,2009,91
FULTON,2011,184
FULTON,2012,106
FULTON,2013,109
FULTON,2014,80
FULTON,2015,106
FULTON,2016,150
FULTON,2017,136
FULTON,2018,103
FULTON,2019,74
FULTON,2020,90
FULTON,2021,108
GENESEE,2009,46
GENESEE,2011,69
GENESEE,2012,67
GENESEE,2013,79
GENESEE,2014,107
GENESEE,2015,98
GENESEE,2016,82
GENESEE,2017,122
GENESEE,2018,138
GENESEE,2019,128
GENESEE,2020,101
GENESEE,2021,149
GREENE,2009,154
GREENE,2011,177
GREENE,2012,141
GREENE,2013,124
GREENE,2014,159
GREENE,2015,132
GREENE,2016,127
GREENE,2017,86
GREENE,2018,80
GREENE,2019,78
GREENE,2020,65
GREENE,2021,70
HAMILTON,2009,0
HAMILTON,2011,0
HAMILTON,2012,0
HAMILTON,2013,0
HAMILTON,2014,0
HAMILTON,2015,0
HAMILTON,2016,0
HAMILTON,2017,0
HAMILTON,2018,0
HAMILTON,2019,0
HAMILTON,2020,0
HAMILTON,2021,0
HERKIMER,2009,88
HERKIMER,2011,40
HERKIMER,2012,42
HERKIMER,2013,48
HERKIMER,2014,49
HERKIMER,2015,30
HERKIMER,2016,46
HERKIMER,2017,56
HERKIMER,2018,43
HERKIMER,2019,31
HERKIMER,2020,7
HERKIMER,2021,37
JEFFERSON,2009,119
JEFFERSON,2011,219
JEFFERSON,2012,222
JEFFERSON,2013,203
JEFFERSON,2014,183
JEFFERSON,2015,174
JEFFERSON,2016,224
JEFFERSON,2017,242
JEFFERSON,2018,208
JEFFERSON,2019,222
JEFFERSON,2020,263
JEFFERSON,2021,295
KINGS,2009,20422
KINGS,2011,21192
KINGS,2012,22825
KINGS,2013,24038
KINGS,2014,23748
KINGS,2015,28628
KINGS,2016,30627
KINGS,2017,31257
KINGS,2018,31151
KINGS,2019,30277
KINGS,2020,27283
KINGS,2021,28497
LEWIS,2009,22
LEWIS,2011,51
LEWIS,2012,56
LEWIS,2013,64
LEWIS,2014,66
LEWIS,2015,71
LEWIS,2016,114
LEWIS,2017,82
LEWIS,2018,60
LEWIS,2019,48
LEWIS,2020,26
LEWIS,2021,35
LIVINGSTON,2009,91
LIVINGSTON,2011,115
LIVINGSTON,2012,103
LIVINGSTON,2013,114
LIVINGSTON,2014,126
LIVINGSTON,2015,93
LIVINGSTON,2016,159
LIVINGSTON,2017,196
LIVINGSTON,2018,155
LIVINGSTON,2019,120
LIVINGSTON,2020,106
LIVINGSTON,2021,110
MADISON,2009,75
MADISON,2011,103
MADISON,2012,63
MADISON,2013,89
MADISON,2014,55
MADISON,2015,76
MADISON,2016,125
MADISON,2017,101
MADISON,2018,132
MADISON,2019,105
MADISON,2020,61
MADISON,2021,94
MONROE,2009,1308
MONROE,2011,2415
MONROE,2012,2570
MONROE,2013,2836
MONROE,2014,3026
MONROE,2015,3290
MONROE,2016,3431
MONROE,2017,3501
MONROE,2018,3389
MONROE,2019,2955
MONROE,2020,1730
MONROE,2021,2294
MONTGOMERY,2009,81
MONTGOMERY,2011,213
MONTGOMERY,2012,172
MONTGOMERY,2013,167
MONTGOMERY,2014,163
MONTGOMERY,2015,200
MONTGOMERY,2016,163
MONTGOMERY,2017,311
MONTGOMERY,2018,241
MONTGOMERY,2019,268
MONTGOMERY,2020,201
MONTGOMERY,2021,217
NASSAU,2009,1280
NASSAU,2011,1435
NASSAU,2012,3172
NASSAU,2013,2611
NASSAU,2014,3205
