REGION,YEAR,TOTAL.HOMELESS
Capital,2009,2462
Capital,2011,2938
Capital,2012,2695
Capital,2013,2519
Capital,2014,2725
Capital,2015,2997
Capital,2016,3319
Capital,2017,3638
Capital,2018,3524
Capital,2019,3144
Capital,2020,2499
Capital,2021,3023
Central,2009,1912
Central,2011,2332
Central,2012,2336
Central,2013,3000
Central,2014,3624
Central,2015,4135
Central,2016,4337
Central,2017,3635
Central,2018,3429
Central,2019,3281
Central,2020,2289
Central,2021,3193
Finger Lakes,2009,2104
Finger Lakes,2011,3530
Finger Lakes,2012,3755
Finger Lakes,2013,3880
Finger Lakes,2014,4119
Finger Lakes,2015,4414
Finger Lakes,2016,4584
Finger Lakes,2017,4770
Finger Lakes,2018,4565
Finger Lakes,2019,4116
Finger Lakes,2020,2761
Finger Lakes,2021,3489
Hudson Valley,2009,5016
Hudson Valley,2011,5898
Hudson Valley,2012,6528
Hudson Valley,2013,6551
Hudson Valley,2014,6549
Hudson Valley,2015,6823
Hudson Valley,2016,6994
Hudson Valley,2017,7550
Hudson Valley,2018,7506
Hudson Valley,2019,6969
Hudson Valley,2020,6140
Hudson Valley,2021,6901
Long Island,2009,4453
Long Island,2011,5397
Long Island,2012,8104
Long Island,2013,7382
Long Island,2014,8020
Long Island,2015,9041
Long Island,2016,10176
Long Island,2017,10184
Long Island,2018,8402
Long Island,2019,7682
Long Island,2020,6378
Long Island,2021,6012
Mohawk,2009,510
Mohawk,2011,898
Mohawk,2012,690
Mohawk,2013,677
Mohawk,2014,709
Mohawk,2015,656
Mohawk,2016,785
Mohawk,2017,1077
Mohawk,2018,1105
Mohawk,2019,1103
Mohawk,2020,854
Mohawk,2021,928
New York City,2009,66884
New York City,2011,71225
New York City,2012,80535
New York City,2013,87176
New York City,2014,86671
New York City,2015,105408
New York City,2016,111538
New York City,2017,114644
New York City,2018,114037
New York City,2019,109079
New York City,2020,100954
New York City,2021,104273
North Country,2009,234
North Country,2011,506
North Country,2012,532
North Country,2013,532
North Country,2014,506
North Country,2015,574
North Country,2016,1304
North Country,2017,791
North Country,2018,690
North Country,2019,626
North Country,2020,1021
North Country,2021,1093
Southern Tier,2009,811
Southern Tier,2011,2278
Southern Tier,2012,1288
Southern Tier,2013,1274
Southern Tier,2014,1218
Southern Tier,2015,1356
Southern Tier,2016,1525
Southern Tier,2017,1767
Southern Tier,2018,1357
Southern Tier,2019,1388
Southern Tier,2020,1257
Southern Tier,2021,1497
Western,2009,1786
Western,2011,2248
Western,2012,2328
Western,2013,2822
Western,2014,3590
Western,2015,3733
Western,2016,3264
Western,2017,3823
Western,2018,3014
Western,2019,2806
Western,2020,1893
Western,2021,2936
