REGION,YEAR,INDI,DIFF,PCT_INCREASE
Capital District,2009,2462,561,22.78635256
Capital District,2021,3023,561,22.78635256
Central New York,2009,1912,1281,66.99790795
Central New York,2021,3193,1281,66.99790795
Finger Lakes,2009,2104,1385,65.8269962
Finger Lakes,2021,3489,1385,65.8269962
Hudson Valley,2009,5016,1885,37.57974482
Hudson Valley,2021,6901,1885,37.57974482
Long Island,2009,4453,1559,35.01010555
Long Island,2021,6012,1559,35.01010555
Mohawk Valley,2009,510,418,81.96078431
Mohawk Valley,2021,928,418,81.96078431
New York City,2009,66884,37389,55.90126189
New York City,2021,104273,37389,55.90126189
North Country,2009,234,859,367.0940171
North Country,2021,1093,859,367.0940171
Southern Tier,2009,811,686,84.58692972
Southern Tier,2021,1497,686,84.58692972
Western New York,2009,1786,1150,64.38969765
Western New York,2021,2936,1150,64.38969765
