LEA.TYPE,YEAR,TOTAL.HOMELESS
CHARTER SCHOOL,2009,1061
CHARTER SCHOOL,2011,1795
CHARTER SCHOOL,2012,2805
CHARTER SCHOOL,2013,3953
CHARTER SCHOOL,2014,5113
CHARTER SCHOOL,2015,6504
CHARTER SCHOOL,2016,7884
CHARTER SCHOOL,2017,10073
CHARTER SCHOOL,2018,11506
CHARTER SCHOOL,2019,13024
CHARTER SCHOOL,2020,13839
CHARTER SCHOOL,2021,14085
SCHOOL DISTRICT,2009,19190
SCHOOL DISTRICT,2011,25910
SCHOOL DISTRICT,2012,28071
SCHOOL DISTRICT,2013,28447
SCHOOL DISTRICT,2014,30835
SCHOOL DISTRICT,2015,33437
SCHOOL DISTRICT,2016,139942
SCHOOL DISTRICT,2017,141806
SCHOOL DISTRICT,2018,136123
SCHOOL DISTRICT,2019,127170
SCHOOL DISTRICT,2020,112207
SCHOOL DISTRICT,2021,119260
