REGION,Year,Age,Grades
Capital,2009,GR1,79
Capital,2009,GR2,73
Capital,2009,GR3,60
Capital,2009,GR4,59
Capital,2009,GR5,54
Capital,2009,GR6,45
Capital,2009,GR7,45
Capital,2009,GR8,58
Capital,2009,GR9,73
Capital,2009,GR10,55
Capital,2009,GR11,32
Capital,2009,GR12,33
Western,2009,GR1,8
Western,2009,GR2,7
Western,2009,GR3,8
Western,2009,GR4,6
Western,2009,GR5,0
Western,2009,GR6,5
Western,2009,GR7,0
Western,2009,GR8,7
Western,2009,GR9,0
Western,2009,GR10,5
Western,2009,GR11,6
Western,2009,GR12,5
New York City,2009,GR1,2661
New York City,2009,GR2,2526
New York City,2009,GR3,2163
New York City,2009,GR4,1882
New York City,2009,GR5,1846
New York City,2009,GR6,1667
New York City,2009,GR7,1564
New York City,2009,GR8,1479
New York City,2009,GR9,1600
New York City,2009,GR10,1006
New York City,2009,GR11,572
New York City,2009,GR12,416
Southern Tier,2009,GR1,37
Southern Tier,2009,GR2,23
Southern Tier,2009,GR3,22
Southern Tier,2009,GR4,17
Southern Tier,2009,GR5,14
Southern Tier,2009,GR6,19
Southern Tier,2009,GR7,17
Southern Tier,2009,GR8,15
Southern Tier,2009,GR9,21
Southern Tier,2009,GR10,26
Southern Tier,2009,GR11,32
Southern Tier,2009,GR12,55
Western,2009,GR1,6
Western,2009,GR2,5
Western,2009,GR3,8
Western,2009,GR4,0
Western,2009,GR5,0
Western,2009,GR6,5
Western,2009,GR7,0
Western,2009,GR8,5
Western,2009,GR9,7
Western,2009,GR10,6
Western,2009,GR11,6
Western,2009,GR12,5
Central,2009,GR1,10
Central,2009,GR2,14
Central,2009,GR3,13
Central,2009,GR4,11
Central,2009,GR5,5
Central,2009,GR6,10
Central,2009,GR7,11
Central,2009,GR8,7
Central,2009,GR9,13
Central,2009,GR10,13
Central,2009,GR11,10
Central,2009,GR12,6
Western,2009,GR1,32
Western,2009,GR2,16
Western,2009,GR3,22
Western,2009,GR4,17
Western,2009,GR5,16
Western,2009,GR6,11
Western,2009,GR7,14
Western,2009,GR8,11
Western,2009,GR9,20
Western,2009,GR10,11
Western,2009,GR11,11
Western,2009,GR12,16
Southern Tier,2009,GR1,0
Southern Tier,2009,GR2,0
Southern Tier,2009,GR3,0
Southern Tier,2009,GR4,0
Southern Tier,2009,GR5,0
Southern Tier,2009,GR6,0
Southern Tier,2009,GR7,0
Southern Tier,2009,GR8,0
Southern Tier,2009,GR9,0
Southern Tier,2009,GR10,0
Southern Tier,2009,GR11,0
Southern Tier,2009,GR12,0
Southern Tier,2009,GR1,6
Southern Tier,2009,GR2,5
Southern Tier,2009,GR3,0
Southern Tier,2009,GR4,6
Southern Tier,2009,GR5,0
Southern Tier,2009,GR6,5
Southern Tier,2009,GR7,0
Southern Tier,2009,GR8,0
Southern Tier,2009,GR9,6
Southern Tier,2009,GR10,6
Southern Tier,2009,GR11,10
Southern Tier,2009,GR12,6
North Country,2009,GR1,0
North Country,2009,GR2,0
North Country,2009,GR3,0
North Country,2009,GR4,5
North Country,2009,GR5,0
